Year,Other,Migration and refugees,Microeconomic policy,East-West Relations (Russia),IFI/UN reform,International cooperation,Drugs,Labour & Employment,Education,ICT,Financial regulation,Good governance,Democracy & human rights,Gender,Food & Agriculture,Macroeconomic policy,Peace & security,Crime and Corruption,Trade,Nonproliferation,Terrorism,Health,Energy,Environment,Development
1987,0.0,0.0,0.0,5.769230769230769,0.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,32.69230769230769,0.0,0.0,9.615384615384617,3.8461538461538463,25.0,0.0,0.0,5.769230769230769,7.6923076923076925
1988,0.0,0.0,7.4074074074074066,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,3.7037037037037033,0.0,3.7037037037037033,0.0,3.7037037037037033,3.7037037037037033,18.51851851851852,0.0,22.22222222222222,7.4074074074074066,7.4074074074074066,0.0,0.0,0.0,18.51851851851852
1989,0.0,0.0,0.0,0.0,0.0,0.0,18.0327868852459,0.0,0.0,0.0,0.0,0.0,4.918032786885246,0.0,0.0,9.836065573770492,3.278688524590164,0.0,9.836065573770492,1.639344262295082,14.754098360655737,0.0,0.0,18.0327868852459,19.672131147540984
1990,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,12.82051282051282,0.0,0.0,0.0,0.0,0.0,12.82051282051282,5.128205128205128,8.974358974358974,0.0,0.0,33.33333333333333,15.384615384615385
1991,1.8867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,1.8867924528301887,0.0,1.8867924528301887,0.0,0.0,15.09433962264151,0.0,0.0,5.660377358490567,0.0,0.0,16.9811320754717,22.641509433962266,0.0,0.0,5.660377358490567,26.41509433962264,1.8867924528301887
1992,0.0,4.878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4390243902439024,0.0,0.0,7.317073170731707,0.0,0.0,9.75609756097561,0.0,0.0,0.0,41.46341463414634,2.4390243902439024,0.0,0.0,21.951219512195124,9.75609756097561
1993,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,17.24137931034483,17.24137931034483,0.0,17.24137931034483,3.4482758620689653,0.0,0.0,0.0,10.344827586206897,27.586206896551722
1994,0.0,0.0,3.7735849056603774,5.660377358490567,0.0,0.0,1.8867924528301887,7.547169811320755,0.0,1.8867924528301887,0.0,5.660377358490567,5.660377358490567,0.0,0.0,5.660377358490567,9.433962264150944,5.660377358490567,11.320754716981133,13.20754716981132,1.8867924528301887,0.0,0.0,9.433962264150944,11.320754716981133
1995,2.5974025974025974,1.2987012987012987,0.0,0.0,14.285714285714285,3.896103896103896,0.0,0.0,0.0,0.0,1.2987012987012987,2.5974025974025974,7.792207792207792,0.0,0.0,5.194805194805195,5.194805194805195,5.194805194805195,14.285714285714285,9.090909090909092,2.5974025974025974,0.0,0.0,5.194805194805195,18.181818181818183
1996,0.78125,0.78125,0.0,0.0,6.25,0.0,2.34375,4.6875,0.0,2.34375,8.59375,1.5625,5.46875,0.0,0.0,6.25,4.6875,9.375,7.8125,8.59375,5.46875,2.34375,0.0,4.6875,17.96875
